" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","2,001","2,109","2,063","2,022","2,112","2,110","2,114","2,350","2,294","2,503"
"Homicide","31","27","31","24","30","18","21","40","32","37"
"Rape (Forcible Rape prior to 2014)","79","146","192","204","179","239","264","275","310","242"
"Rape","77","141","187","196","171","234","262","271","304","236"
"Attempted Rape","2","5","5","8","8","5","2","4","6","6"
"Robbery","718","723","671","647","701","653","661","589","562","661"
"Weapon","","","","","","","","","",""
"Firearm","269","241","216","215","254","205","176","181","175","276"
"Knife or Cutting Instrument","42","42","48","45","30","44","40","45","29","37"
"Other Weapon","95","53","41","44","51","45","39","43","32","48"
"Strong-Arm","312","387","366","343","366","359","406","320","326","300"
"Location","","","","","","","","","",""
"Highway","226","246","221","184","195","187","195","157","123","137"
"Commercial","152","120","127","150","141","151","145","130","137","167"
"Gas Station","25","14","26","26","42","31","31","35","37","45"
"Convenience Store","29","45","31","46","53","37","29","38","30","49"
"Residence","75","75","70","66","85","71","80","62","64","88"
"Bank","11","9","7","16","19","7","9","7","7","14"
"Miscellaneous","200","214","189","159","166","169","172","160","164","161"
"Aggravated Assault","1,173","1,213","1,169","1,147","1,202","1,200","1,168","1,446","1,390","1,563"
"Weapon","","","","","","","","","",""
"Firearm","283","235","241","172","192","152","269","478","432","419"
"Knife or Cutting Instrument","172","130","132","124","127","145","158","128","137","170"
"Other Weapon","331","319","316","366","345","376","368","410","431","458"
"Hands  Fists  Feet","387","529","480","485","538","527","373","430","390","516"
"Property Crimes","13,533","13,453","13,012","11,719","12,004","11,894","13,161","10,689","10,474","11,856"
"Burglary","4,666","3,773","3,571","3,397","3,660","3,368","3,727","2,751","1,579","1,724"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","3,324","2,179","2,009","1,971","2,334","2,176","2,505","1,686","929","841"
"No Force","1,342","1,594","1,562","1,426","1,326","1,192","1,222","1,065","650","883"
"Location / Time","","","","","","","","","",""
"Residence","2,664","2,020","1,771","1,461","1,455","1,049","1,002","763","630","715"
"Night","619","489","428","418","403","294","302","283","223","242"
"Day","1,772","1,154","1,001","765","793","592","560","370","337","387"
"Unknown","273","377","342","278","259","163","140","110","70","86"
"Non-Residence","2,002","1,753","1,800","1,936","2,205","2,319","2,725","1,988","949","1,009"
"Night","1,045","810","887","927","1,073","1,132","1,201","957","477","554"
"Day","794","708","714","792","894","960","1,296","875","374","385"
"Unknown","163","235","199","217","238","227","228","156","98","70"
"Motor Vehicle Theft","2,394","2,263","2,198","2,164","2,007","2,241","2,065","2,243","2,153","2,148"
"Automotive","1,787","1,640","1,600","1,464","1,399","1,336","1,353","1,464","1,178","1,253"
"Trucks and Buses","356","399","373","512","438","662","499","552","741","692"
"Other","251","224","225","188","170","243","213","227","234","203"
"Larceny-Theft","6,473","7,417","7,243","6,158","6,337","6,285","7,369","5,695","6,742","7,984"
"Type","","","","","","","","","",""
"Pocket-Picking","12","22","29","19","28","25","40","24","18","38"
"Purse-Snatching","22","23","22","43","52","28","34","12","26","21"
"Shoplifting","1,069","1,205","1,302","1,163","1,157","1,213","1,274","721","805","1,042"
"From Motor Vehicle","1,720","2,818","2,674","1,906","2,249","2,403","3,026","1,936","2,467","2,551"
"Motor Vehicle Accessories","723","625","627","548","496","499","763","1,074","1,657","2,143"
"Bicycles","256","214","251","161","156","164","149","123","112","128"
"From Building","692","1,020","1,040","1,013","848","734","742","601","543","608"
"Coin Operated Machine","13","20","26","31","11","8","23","9","7","3"
"Other","1,966","1,470","1,272","1,274","1,340","1,211","1,318","1,195","1,107","1,450"
"Value","","","","","","","","","",""
"Over $400","2,290","2,739","2,597","2,205","2,380","2,382","2,974","2,342","null","null"
"Over $200","0","0","0","0","0","0","0","0","4,144","5,097"
"$200 through $400","908","966","952","812","796","817","987","741","null","null"
"$50 through $199","1,126","1,307","1,327","1,037","1,073","1,149","1,287","906","793","828"
"Under $50","2,149","2,405","2,367","2,104","2,088","1,937","2,121","1,706","1,805","2,059"
"Arson","115","87","107","121","140","107","106","177","182","139"
"Structural Property","54","65","70","95","99","78","83","134","126","88"
"Mobile Property","32","10","9","7","11","14","1","2","1","5"
"Other Property","29","12","28","19","30","15","22","41","55","46"
