" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","7","11","3","14","5","5","1","4","6","10"
"Homicide","0","0","0","0","0","0","0","0","0","0"
"Rape (Forcible Rape prior to 2014)","0","0","0","0","0","1","0","0","0","0"
"Rape","0","0","0","0","0","1","0","0","0","0"
"Attempted Rape","0","0","0","0","0","0","0","0","0","0"
"Robbery","0","0","0","0","1","0","0","0","0","0"
"Weapon","","","","","","","","","",""
"Firearm","0","0","0","0","1","0","0","0","0","0"
"Knife or Cutting Instrument","0","0","0","0","0","0","0","0","0","0"
"Other Weapon","0","0","0","0","0","0","0","0","0","0"
"Strong-Arm","0","0","0","0","0","0","0","0","0","0"
"Location","","","","","","","","","",""
"Highway","0","0","0","0","0","0","0","0","0","0"
"Commercial","0","0","0","0","0","0","0","0","0","0"
"Gas Station","0","0","0","0","0","0","0","0","0","0"
"Convenience Store","0","0","0","0","0","0","0","0","0","0"
"Residence","0","0","0","0","1","0","0","0","0","0"
"Bank","0","0","0","0","0","0","0","0","0","0"
"Miscellaneous","0","0","0","0","0","0","0","0","0","0"
"Aggravated Assault","7","11","3","14","4","4","1","4","6","10"
"Weapon","","","","","","","","","",""
"Firearm","0","0","0","0","1","0","1","1","1","0"
"Knife or Cutting Instrument","1","0","0","1","0","1","0","0","1","0"
"Other Weapon","0","2","1","2","3","0","0","2","0","7"
"Hands  Fists  Feet","6","9","2","11","0","3","0","1","4","3"
"Property Crimes","77","29","33","26","28","22","31","17","50","19"
"Burglary","43","12","5","8","12","9","15","7","13","8"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","14","3","2","4","3","6","2","3","7","3"
"No Force","29","9","3","4","9","3","13","4","6","5"
"Location / Time","","","","","","","","","",""
"Residence","30","5","2","4","10","5","12","6","13","5"
"Night","1","0","0","2","1","0","2","0","4","2"
"Day","3","2","1","2","6","2","0","0","4","2"
"Unknown","26","3","1","0","3","3","10","6","5","1"
"Non-Residence","13","7","3","4","2","4","3","1","0","3"
"Night","0","2","3","3","1","2","0","0","0","0"
"Day","1","3","0","0","0","1","2","0","0","3"
"Unknown","12","2","0","1","1","1","1","1","0","0"
"Motor Vehicle Theft","2","1","5","0","4","2","0","0","11","1"
"Automotive","0","0","4","0","2","0","0","0","4","1"
"Trucks and Buses","0","0","0","0","0","0","0","0","0","0"
"Other","2","1","1","0","2","2","0","0","7","0"
"Larceny-Theft","32","16","23","18","12","11","16","10","26","10"
"Type","","","","","","","","","",""
"Pocket-Picking","0","0","0","0","0","0","0","0","0","0"
"Purse-Snatching","1","0","0","0","0","0","0","0","0","0"
"Shoplifting","1","0","0","0","2","0","1","1","1","0"
"From Motor Vehicle","3","6","0","6","2","4","4","1","2","0"
"Motor Vehicle Accessories","1","1","1","0","1","0","0","0","6","0"
"Bicycles","3","0","1","0","3","0","1","2","0","1"
"From Building","1","0","5","7","3","5","6","0","8","3"
"Coin Operated Machine","0","0","0","0","0","1","0","0","0","0"
"Other","22","9","16","5","1","1","4","6","9","6"
"Value","","","","","","","","","",""
"Over $400","13","8","19","11","4","6","6","7","null","null"
"Over $200","0","0","0","0","0","0","0","0","14","4"
"$200 through $400","5","3","0","1","2","2","1","0","null","null"
"$50 through $199","9","4","4","4","2","0","2","0","6","3"
"Under $50","5","1","0","2","4","3","7","3","6","3"
"Arson","0","0","0","1","0","0","0","0","0","2"
"Structural Property","0","0","0","1","0","0","0","0","0","0"
"Mobile Property","0","0","0","0","0","0","0","0","0","0"
"Other Property","0","0","0","0","0","0","0","0","0","2"
