" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","272","296","313","318","325","341","326","404","354","279"
"Homicide","3","2","5","4","3","7","7","2","6","5"
"Rape (Forcible Rape prior to 2014)","32","22","26","19","23","39","41","37","35","33"
"Rape","30","19","23","16","22","36","41","32","31","31"
"Attempted Rape","2","3","3","3","1","3","0","5","4","2"
"Robbery","41","50","63","55","59","72","61","57","70","40"
"Weapon","","","","","","","","","",""
"Firearm","10","10","16","18","14","12","13","12","12","8"
"Knife or Cutting Instrument","4","6","8","2","2","6","7","4","11","5"
"Other Weapon","10","6","11","8","7","14","7","9","6","5"
"Strong-Arm","17","28","28","27","36","40","34","32","41","22"
"Location","","","","","","","","","",""
"Highway","10","11","11","18","12","13","7","9","9","5"
"Commercial","8","10","8","2","12","15","7","9","13","5"
"Gas Station","1","0","2","3","5","0","3","4","7","4"
"Convenience Store","2","2","3","3","4","4","7","5","5","4"
"Residence","10","19","13","11","10","14","18","13","19","9"
"Bank","0","0","1","0","1","0","0","1","0","1"
"Miscellaneous","10","8","25","18","15","26","19","16","17","12"
"Aggravated Assault","196","222","219","240","240","223","217","308","243","201"
"Weapon","","","","","","","","","",""
"Firearm","17","23","15","31","32","16","33","50","50","32"
"Knife or Cutting Instrument","21","25","33","43","32","53","42","50","48","23"
"Other Weapon","93","119","115","110","107","107","92","138","101","80"
"Hands  Fists  Feet","65","55","56","56","69","47","50","70","44","66"
"Property Crimes","2,143","2,135","2,018","1,944","2,072","1,856","1,844","1,841","1,284","1,227"
"Burglary","610","579","509","456","550","420","405","318","242","302"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","340","302","320","283","377","277","252","185","158","205"
"No Force","270","277","189","173","173","143","153","133","84","97"
"Location / Time","","","","","","","","","",""
"Residence","394","333","351","306","371","292","245","180","137","114"
"Night","63","62","59","68","50","65","43","44","38","26"
"Day","116","80","118","87","98","97","80","50","46","53"
"Unknown","215","191","174","151","223","130","122","86","53","35"
"Non-Residence","216","246","158","150","179","128","160","138","105","188"
"Night","80","84","50","60","73","40","56","59","35","56"
"Day","73","81","25","29","28","28","30","28","28","104"
"Unknown","63","81","83","61","78","60","74","51","42","28"
"Motor Vehicle Theft","383","348","351","407","490","431","475","623","293","131"
"Automotive","286","256","258","279","344","302","356","386","197","116"
"Trucks and Buses","56","58","45","68","97","83","81","160","72","4"
"Other","41","34","48","60","49","46","38","77","24","11"
"Larceny-Theft","1,150","1,208","1,158","1,081","1,032","1,005","964","900","749","794"
"Type","","","","","","","","","",""
"Pocket-Picking","3","3","2","1","2","3","0","3","6","0"
"Purse-Snatching","4","1","5","5","9","4","4","7","3","4"
"Shoplifting","237","239","184","226","153","99","93","68","73","116"
"From Motor Vehicle","286","295","337","295","309","321","311","275","206","126"
"Motor Vehicle Accessories","61","37","56","36","59","70","86","106","96","66"
"Bicycles","62","59","79","51","38","21","14","9","7","9"
"From Building","138","140","111","112","103","88","92","84","58","43"
"Coin Operated Machine","4","2","6","2","7","6","4","2","3","0"
"Other","355","432","378","353","352","393","360","346","297","430"
"Value","","","","","","","","","",""
"Over $400","337","396","366","361","388","384","382","406","null","null"
"Over $200","0","0","0","0","0","0","0","0","477","522"
"$200 through $400","194","187","179","175","159","170","142","116","null","null"
"$50 through $199","291","302","276","275","214","196","179","131","102","92"
"Under $50","328","323","337","270","271","255","261","247","170","180"
"Arson","19","19","15","27","31","33","20","41","28","21"
"Structural Property","7","5","8","13","12","14","5","14","8","12"
"Mobile Property","7","9","2","7","10","9","6","13","11","7"
"Other Property","5","5","5","7","9","10","9","14","9","2"
