" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","2,097","1,903","1,815","1,608","1,645","1,587","1,692","1,699","1,945","2,087"
"Homicide","42","36","45","33","33","26","20","29","42","44"
"Rape (Forcible Rape prior to 2014)","86","91","175","135","162","201","194","206","234","184"
"Rape","82","88","161","125","149","192","188","188","224","171"
"Attempted Rape","4","3","14","10","13","9","6","18","10","13"
"Robbery","437","375","329","329","382","359","389","356","266","383"
"Weapon","","","","","","","","","",""
"Firearm","169","129","121","118","133","110","105","102","97","152"
"Knife or Cutting Instrument","49","41","28","34","44","44","49","38","28","23"
"Other Weapon","22","37","33","48","44","36","27","41","33","51"
"Strong-Arm","197","168","147","129","161","169","208","175","108","157"
"Location","","","","","","","","","",""
"Highway","201","170","154","116","109","117","121","98","62","100"
"Commercial","36","29","20","15","56","38","46","29","48","71"
"Gas Station","20","11","16","20","30","26","11","20","19","42"
"Convenience Store","51","44","39","35","36","39","39","43","27","33"
"Residence","33","47","37","36","42","39","51","54","42","42"
"Bank","11","1","1","3","2","4","3","0","9","5"
"Miscellaneous","85","73","62","104","107","96","118","112","59","90"
"Aggravated Assault","1,532","1,401","1,266","1,111","1,068","1,001","1,089","1,108","1,403","1,476"
"Weapon","","","","","","","","","",""
"Firearm","365","295","231","194","167","139","150","197","307","345"
"Knife or Cutting Instrument","275","203","217","211","188","183","192","176","210","219"
"Other Weapon","396","414","418","385","337","337","365","430","560","551"
"Hands  Fists  Feet","496","489","400","321","376","342","382","305","326","361"
"Property Crimes","14,290","11,398","11,783","11,563","11,722","11,682","10,625","9,400","9,082","9,876"
"Burglary","4,446","2,931","2,706","2,674","2,359","2,259","2,025","1,828","1,526","1,512"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","3,323","2,034","1,974","1,990","1,801","1,668","1,482","1,407","1,172","1,213"
"No Force","1,123","897","732","684","558","591","543","421","354","299"
"Location / Time","","","","","","","","","",""
"Residence","2,991","1,975","1,747","1,625","1,308","1,242","1,022","847","651","597"
"Night","1,145","695","571","486","316","351","314","282","219","253"
"Day","1,269","898","830","755","435","409","307","239","227","253"
"Unknown","577","382","346","384","557","482","401","326","205","91"
"Non-Residence","1,455","956","959","1,049","1,051","1,017","1,003","981","875","915"
"Night","682","379","370","403","373","386","371","393","361","461"
"Day","469","358","358","411","270","253","280","250","279","351"
"Unknown","304","219","231","235","408","378","352","338","235","103"
"Motor Vehicle Theft","1,994","1,794","1,834","2,108","2,211","2,203","1,845","1,802","1,819","2,136"
"Automotive","1,359","1,361","1,348","1,405","1,397","1,330","1,146","1,039","1,029","907"
"Trucks and Buses","457","283","306","454","605","695","550","550","612","908"
"Other","178","150","180","249","209","178","149","213","178","321"
"Larceny-Theft","7,850","6,673","7,243","6,781","7,152","7,220","6,755","5,770","5,737","6,228"
"Type","","","","","","","","","",""
"Pocket-Picking","252","79","14","18","19","14","16","6","18","16"
"Purse-Snatching","50","47","27","43","34","27","15","10","12","14"
"Shoplifting","1,451","1,563","1,520","1,319","1,419","1,452","1,284","807","630","881"
"From Motor Vehicle","2,348","1,712","2,017","1,990","2,092","2,125","2,016","1,930","1,791","1,734"
"Motor Vehicle Accessories","701","546","662","562","752","785","765","672","934","979"
"Bicycles","426","368","381","292","320","259","231","163","112","163"
"From Building","878","630","754","716","694","698","668","463","427","471"
"Coin Operated Machine","32","9","16","21","30","12","11","12","9","9"
"Other","1,712","1,719","1,852","1,820","1,792","1,848","1,749","1,707","1,804","1,961"
"Value","","","","","","","","","",""
"Over $400","2,386","2,039","2,240","2,165","2,807","2,769","2,701","2,347","null","null"
"Over $200","0","0","0","0","0","0","0","0","3,280","3,778"
"$200 through $400","1,204","952","969","800","615","672","585","539","null","null"
"$50 through $199","1,895","1,543","1,530","1,339","1,483","1,463","1,317","967","776","912"
"Under $50","2,365","2,139","2,504","2,477","2,247","2,316","2,152","1,917","1,681","1,538"
"Arson","44","37","33","28","72","114","87","104","68","191"
"Structural Property","10","9","13","15","24","31","23","40","23","33"
"Mobile Property","4","14","8","4","25","67","38","36","19","24"
"Other Property","30","14","12","9","23","16","26","28","26","134"
